Panel ID,Gene ID,HGNC symbol,HGNC ID,Gene Symbol,GRCh38 Chr,GRCh38 start,GRCh38 stop,GRCh37 Chr,GRCh37 start,GRCh37 stop,Confidence
3,ENSG00000125378,BMP4,HGNC:1071,BMP4,14,53949736,53958761,14,54416454,54425479,3
3,ENSG00000060718,COL11A1,HGNC:2186,COL11A1,1,102876467,103108496,1,103342023,103574052,3
3,ENSG00000204248,COL11A2,HGNC:2187,COL11A2,6,33162681,33192499,6,33130458,33160276,3
3,ENSG00000139219,COL2A1,HGNC:2200,COL2A1,12,47972965,48004486,12,48366748,48398269,3
3,ENSG00000112280,COL9A1,HGNC:2217,COL9A1,6,70215061,70303083,6,70924764,71012786,3
3,ENSG00000049089,COL9A2,HGNC:2218,COL9A2,1,40300487,40317816,1,40766159,40783488,3
3,ENSG00000092758,COL9A3,HGNC:2219,COL9A3,20,62816244,62841159,20,61447596,61472511,3
3,ENSG00000125812,GZF1,HGNC:15808,GZF1,20,23362182,23373063,20,23342787,23353700,3
3,ENSG00000038427,VCAN,HGNC:2464,VCAN,5,83471465,83582303,5,82767284,82878122,3
3,ENSG00000115318,LOXL3,HGNC:13869,LOXL3,2,74532414,74555690,2,74759541,74782817,2
3,ENSG00000081479,LRP2,HGNC:6694,LRP2,2,169127109,169362685,2,169983619,170219195,2
9,ENSG00000104899,AMH,HGNC:464,AMH,19,2249309,2252073,19,2249308,2252072,3
9,ENSG00000135409,AMHR2,HGNC:465,AMHR2,12,53423855,53431534,12,53817639,53825318,3
9,ENSG00000169083,AR,HGNC:644,AR,X,67544032,67730619,X,66764465,66950461,3
9,ENSG00000004848,ARX,HGNC:18060,ARX,X,25003694,25016420,X,25021811,25034065,3
9,ENSG00000085224,ATRX,HGNC:886,ATRX,X,77504878,77786269,X,76760356,77041702,3
9,ENSG00000129757,CDKN1C,HGNC:1786,CDKN1C,11,2883213,2885881,11,2904443,2907111,3
9,ENSG00000171316,CHD7,HGNC:20626,CHD7,8,60678778,60868028,8,61591337,61779465,3
9,ENSG00000174177,CTU2,HGNC:28005,CTU2,16,88706463,88715386,16,88772871,88781794,3
9,ENSG00000158290,CUL4B,HGNC:2555,CUL4B,X,120524609,120575794,X,119658464,119709649,3
9,ENSG00000166347,CYB5A,HGNC:2570,CYB5A,18,74250847,74292016,18,71920530,71959251,3
9,ENSG00000140459,CYP11A1,HGNC:2590,CYP11A1,15,74337759,74367740,15,74630100,74660081,3
9,ENSG00000160882,CYP11B1,HGNC:2591,CYP11B1,8,142872356,142879846,8,143953772,143961262,3
9,ENSG00000148795,CYP17A1,HGNC:2593,CYP17A1,10,102830531,102837533,10,104590288,104597290,3
9,ENSG00000137869,CYP19A1,HGNC:2594,CYP19A1,15,51208057,51338610,15,51500254,51630807,3
9,ENSG00000231852,CYP21A2,HGNC:2600,CYP21A2,6,32038265,32041670,6,32006042,32009447,3
9,ENSG00000172893,DHCR7,HGNC:2860,DHCR7,11,71428193,71452868,11,71139239,71163914,3
9,ENSG00000139549,DHH,HGNC:2865,DHH,12,49089421,49094819,12,49483204,49488602,3
9,ENSG00000150990,DHX37,HGNC:17210,DHX37,12,124946825,124989122,12,125431371,125473668,3
9,ENSG00000136574,GATA4,HGNC:4173,GATA4,8,11676959,11760002,8,11534468,11617511,3
9,ENSG00000106031,HOXA13,HGNC:5102,HOXA13,7,27193503,27200106,7,27233122,27239725,3
9,ENSG00000130948,HSD17B3,HGNC:5212,HSD17B3,9,96235306,96302152,9,98997588,99064434,3
9,ENSG00000203859,HSD3B2,HGNC:5218,HSD3B2,1,119414931,119423035,1,119957554,119965658,3
9,ENSG00000138039,LHCGR,HGNC:6585,LHCGR,2,48686775,48755730,2,48859428,48982880,3
9,ENSG00000013619,MAMLD1,HGNC:2568,MAMLD1,X,150361422,150514178,X,149529689,149682448,3
9,ENSG00000095015,MAP3K1,HGNC:6848,MAP3K1,5,56815574,56896152,5,56111401,56191979,3
9,ENSG00000124920,MYRF,HGNC:1181,MYRF,11,61752642,61788518,11,61520114,61555990,3
9,ENSG00000169297,NR0B1,HGNC:7960,NR0B1,X,30304206,30309598,X,30322323,30327715,3
9,ENSG00000185551,NR2F2,HGNC:7976,NR2F2,15,96325938,96340263,15,96869167,96883492,3
9,ENSG00000113580,NR3C1,HGNC:7978,NR3C1,5,143277931,143435512,5,142657496,142815077,3
9,ENSG00000136931,NR5A1,HGNC:7983,NR5A1,9,124481236,124507430,9,127243516,127269709,3
9,ENSG00000127948,POR,HGNC:9208,POR,7,75899200,75986855,7,75528518,75616173,3
9,ENSG00000058272,PPP1R12A,HGNC:7618,PPP1R12A,12,79773563,79935460,12,80167343,80329240,3
9,ENSG00000147403,RPL10,HGNC:10298,RPL10,X,154389955,154409168,X,153618315,153637504,3
9,ENSG00000169218,RSPO1,HGNC:21679,RSPO1,1,37611350,37634923,1,38076951,38100595,3
9,ENSG00000205413,SAMD9,HGNC:1348,SAMD9,7,93099513,93118023,7,92728829,92747336,3
9,ENSG00000166224,SGPL1,HGNC:10817,SGPL1,10,70815961,70881173,10,72575717,72640930,3
9,ENSG00000100146,SOX10,HGNC:11190,SOX10,22,37970686,37987422,22,38366693,38383429,3
9,ENSG00000125398,SOX9,HGNC:11204,SOX9,17,72121020,72126420,17,70117161,70122561,3
9,ENSG00000277893,SRD5A2,HGNC:11285,SRD5A2,2,31522480,31581067,2,31747550,31806136,3
9,ENSG00000184895,SRY,HGNC:11311,SRY,Y,2786855,2787699,Y,2654896,2655740,3
9,ENSG00000147465,STAR,HGNC:11359,STAR,8,38143649,38151265,8,38001167,38008783,3
9,ENSG00000132773,TOE1,HGNC:15954,TOE1,1,45339670,45343975,1,45805342,45809647,3
9,ENSG00000189241,TSPYL1,HGNC:12382,TSPYL1,6,116276578,116279903,6,116597741,116601066,3
9,ENSG00000184937,WT1,HGNC:12796,WT1,11,32387775,32435630,11,32409321,32457176,3
9,ENSG00000140009,ESR2,HGNC:3468,ESR2,14,64084232,64338112,14,64550950,64804830,2
9,ENSG00000066468,FGFR2,HGNC:3689,FGFR2,10,121478334,121598458,10,123237848,123357972,2
